mssubclass,mszoning,lotfrontage,lotshape,lotconfig,neighborhood,condition1,bldgtype,housestyle,overallqual,overallcond,yearbuilt,yearremodadd,roofstyle,exterior1st,exterior2nd,masvnrtype,masvnrarea,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,heatingqc,centralair,electrical,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenqual,totrmsabvgrd,functional,fireplaces,fireplacequ,garagetype,garageyrblt,garagefinish,garagecars,garagearea,garagequal,wooddecksf,openporchsf,enclosedporch,fence,miscfeature,miscval,mosold,yrsold,saletype,salecondition,saleprice,SalePrice Bucket
MSSubClass-20,MSZoning-RL,LotFrontage-78,LotShape-IR1,LotConfig-Inside,Neighborhood-NWAmes,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-6,OverallCond-6,YearBuilt-1981,YearRemodAdd-1981,RoofStyle-Gable,Exterior1st-MetalSd,Exterior2nd-MetalSd,MasVnrType-BrkFace,MasVnrArea-210,ExterQual-TA,ExterCond-Gd,Foundation-CBlock,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-GLQ,BsmtFinSF1-588,BsmtFinType2-LwQ,BsmtFinSF2-228,BsmtUnfSF-606,TotalBsmtSF-1422,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-1422,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-7,Functional-Typ,Fireplaces-1,FireplaceQu-TA,GarageType-Attchd,GarageYrBlt-1981,GarageFinish-Fin,GarageCars-2,GarageArea-576,GarageQual-TA,WoodDeckSF-276,OpenPorchSF-0,EnclosedPorch-0,Fence-GdPrv,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2008,SaleType-WD,SaleCondition-Normal,SalePrice-175500,gt_100000
MSSubClass-60,MSZoning-RL,LotFrontage-70,LotShape-IR1,LotConfig-FR2,Neighborhood-Gilbert,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-6,OverallCond-5,YearBuilt-1997,YearRemodAdd-1997,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-Av,BsmtFinType1-GLQ,BsmtFinSF1-714,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-88,TotalBsmtSF-802,HeatingQC-Gd,CentralAir-Y,Electrical-SBrkr,GrLivArea-1511,BsmtFullBath-1,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-3,KitchenQual-TA,TotRmsAbvGrd-8,Functional-Typ,Fireplaces-1,FireplaceQu-TA,GarageType-Attchd,GarageYrBlt-1997,GarageFinish-Fin,GarageCars-2,GarageArea-413,GarageQual-TA,WoodDeckSF-95,OpenPorchSF-75,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2006,SaleType-WD,SaleCondition-Normal,SalePrice-185000,gt_100000
MSSubClass-75,MSZoning-RL,LotFrontage-60,LotShape-Reg,LotConfig-Inside,Neighborhood-SWISU,Condition1-Norm,BldgType-1Fam,HouseStyle-2.5Fin,OverallQual-5,OverallCond-8,YearBuilt-1939,YearRemodAdd-1997,RoofStyle-Gable,Exterior1st-Wd Sdng,Exterior2nd-Wd Sdng,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-PConc,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-LwQ,BsmtFinSF1-378,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-342,TotalBsmtSF-720,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-2192,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-4,KitchenQual-Gd,TotRmsAbvGrd-8,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Detchd,GarageYrBlt-1939,GarageFinish-Unf,GarageCars-1,GarageArea-240,GarageQual-TA,WoodDeckSF-262,OpenPorchSF-24,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-7,YrSold-2008,SaleType-WD,SaleCondition-Normal,SalePrice-179500,gt_100000
MSSubClass-30,MSZoning-RM,LotFrontage-71,LotShape-Reg,LotConfig-Inside,Neighborhood-IDOTRR,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-5,OverallCond-6,YearBuilt-1940,YearRemodAdd-1955,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-ALQ,BsmtFinSF1-403,BsmtFinType2-Rec,BsmtFinSF2-125,BsmtUnfSF-212,TotalBsmtSF-740,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-778,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-2,KitchenQual-TA,TotRmsAbvGrd-4,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Detchd,GarageYrBlt-1966,GarageFinish-Fin,GarageCars-1,GarageArea-924,GarageQual-Ex,WoodDeckSF-0,OpenPorchSF-25,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-2,YrSold-2008,SaleType-WD,SaleCondition-Normal,SalePrice-120500,gt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-NA,LotShape-IR1,LotConfig-Corner,Neighborhood-Edwards,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-6,OverallCond-7,YearBuilt-1976,YearRemodAdd-1976,RoofStyle-Hip,Exterior1st-HdBoard,Exterior2nd-HdBoard,MasVnrType-BrkFace,MasVnrArea-174,ExterQual-TA,ExterCond-Gd,Foundation-CBlock,BsmtQual-TA,BsmtCond-Gd,BsmtExposure-No,BsmtFinType1-BLQ,BsmtFinSF1-751,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-392,TotalBsmtSF-1143,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-1113,BsmtFullBath-1,BsmtHalfBath-0,FullBath-1,HalfBath-1,BedroomAbvGr-3,KitchenQual-TA,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-1,FireplaceQu-Fa,GarageType-Attchd,GarageYrBlt-1987,GarageFinish-RFn,GarageCars-1,GarageArea-504,GarageQual-TA,WoodDeckSF-370,OpenPorchSF-30,EnclosedPorch-0,Fence-GdPrv,MiscFeature-NA,MiscVal-0,MoSold-5,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-148000,gt_100000
MSSubClass-60,MSZoning-FV,LotFrontage-84,LotShape-Reg,LotConfig-Inside,Neighborhood-Somerst,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-8,OverallCond-5,YearBuilt-2006,YearRemodAdd-2006,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-None,MasVnrArea-0,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-Mn,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1095,TotalBsmtSF-1095,HeatingQC-Gd,CentralAir-Y,Electrical-SBrkr,GrLivArea-1939,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-8,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2006,GarageFinish-RFn,GarageCars-3,GarageArea-1053,GarageQual-TA,WoodDeckSF-192,OpenPorchSF-51,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-8,YrSold-2006,SaleType-New,SaleCondition-Partial,SalePrice-266000,gt_200000
MSSubClass-20,MSZoning-RL,LotFrontage-73,LotShape-IR1,LotConfig-CulDSac,Neighborhood-ClearCr,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-7,OverallCond-7,YearBuilt-1954,YearRemodAdd-2005,RoofStyle-Flat,Exterior1st-Plywood,Exterior2nd-Plywood,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-Gd,BsmtFinType1-LwQ,BsmtFinSF1-226,BsmtFinType2-GLQ,BsmtFinSF2-1063,BsmtUnfSF-96,TotalBsmtSF-1385,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1363,BsmtFullBath-1,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-2,KitchenQual-TA,TotRmsAbvGrd-5,Functional-Mod,Fireplaces-2,FireplaceQu-TA,GarageType-Attchd,GarageYrBlt-1954,GarageFinish-Unf,GarageCars-2,GarageArea-439,GarageQual-TA,WoodDeckSF-81,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-4,YrSold-2008,SaleType-WD,SaleCondition-Normal,SalePrice-241500,gt_200000
MSSubClass-60,MSZoning-RL,LotFrontage-92,LotShape-IR1,LotConfig-CulDSac,Neighborhood-NoRidge,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-8,OverallCond-7,YearBuilt-1999,YearRemodAdd-2007,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-BrkFace,MasVnrArea-348,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-GLQ,BsmtFinSF1-524,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-628,TotalBsmtSF-1152,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-2270,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-4,KitchenQual-Gd,TotRmsAbvGrd-9,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-1999,GarageFinish-Fin,GarageCars-3,GarageArea-671,GarageQual-TA,WoodDeckSF-132,OpenPorchSF-57,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-4,YrSold-2010,SaleType-WD,SaleCondition-Normal,SalePrice-290000,gt_200000
MSSubClass-20,MSZoning-RL,LotFrontage-80,LotShape-Reg,LotConfig-Inside,Neighborhood-NAmes,Condition1-Feedr,BldgType-1Fam,HouseStyle-1Story,OverallQual-6,OverallCond-6,YearBuilt-1958,YearRemodAdd-1988,RoofStyle-Hip,Exterior1st-Wd Sdng,Exterior2nd-Wd Sdng,MasVnrType-BrkCmn,MasVnrArea-183,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Rec,BsmtFinSF1-620,BsmtFinType2-LwQ,BsmtFinSF2-620,BsmtUnfSF-0,TotalBsmtSF-1240,HeatingQC-Gd,CentralAir-Y,Electrical-SBrkr,GrLivArea-1632,BsmtFullBath-1,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-3,KitchenQual-TA,TotRmsAbvGrd-6,Functional-Min1,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-1958,GarageFinish-RFn,GarageCars-1,GarageArea-338,GarageQual-TA,WoodDeckSF-289,OpenPorchSF-0,EnclosedPorch-0,Fence-MnPrv,MiscFeature-NA,MiscVal-0,MoSold-4,YrSold-2009,SaleType-WD,SaleCondition-Normal,SalePrice-139000,gt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-76,LotShape-Reg,LotConfig-Corner,Neighborhood-Mitchel,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-5,OverallCond-7,YearBuilt-1982,YearRemodAdd-1982,RoofStyle-Gable,Exterior1st-HdBoard,Exterior2nd-ImStucc,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-Gd,BsmtFinType1-ALQ,BsmtFinSF1-546,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-270,TotalBsmtSF-816,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-816,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-2,KitchenQual-TA,TotRmsAbvGrd-5,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Attchd,GarageYrBlt-1982,GarageFinish-Unf,GarageCars-1,GarageArea-264,GarageQual-TA,WoodDeckSF-168,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-124500,gt_100000
MSSubClass-50,MSZoning-RL,LotFrontage-55,LotShape-Reg,LotConfig-Inside,Neighborhood-BrkSide,Condition1-Norm,BldgType-1Fam,HouseStyle-1.5Fin,OverallQual-7,OverallCond-7,YearBuilt-1925,YearRemodAdd-2007,RoofStyle-Gable,Exterior1st-Wd Sdng,Exterior2nd-Wd Sdng,MasVnrType-None,MasVnrArea-0,ExterQual-Gd,ExterCond-Gd,Foundation-BrkTil,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-952,TotalBsmtSF-952,HeatingQC-Gd,CentralAir-N,Electrical-SBrkr,GrLivArea-1548,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-3,KitchenQual-Ex,TotRmsAbvGrd-5,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-1978,GarageFinish-Unf,GarageCars-2,GarageArea-672,GarageQual-TA,WoodDeckSF-74,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-10,YrSold-2009,SaleType-WD,SaleCondition-Normal,SalePrice-205000,gt_200000
MSSubClass-20,MSZoning-RL,LotFrontage-129,LotShape-IR1,LotConfig-Inside,Neighborhood-Mitchel,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-7,OverallCond-5,YearBuilt-2003,YearRemodAdd-2003,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-None,MasVnrArea-0,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1560,TotalBsmtSF-1560,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1560,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-7,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Attchd,GarageYrBlt-2003,GarageFinish-Fin,GarageCars-2,GarageArea-573,GarageQual-TA,WoodDeckSF-100,OpenPorchSF-150,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-4,YrSold-2010,SaleType-WD,SaleCondition-Normal,SalePrice-201000,gt_200000
MSSubClass-20,MSZoning-RL,LotFrontage-140,LotShape-Reg,LotConfig-Corner,Neighborhood-Gilbert,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-4,OverallCond-5,YearBuilt-1951,YearRemodAdd-1951,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-LwQ,BsmtFinSF1-120,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-744,TotalBsmtSF-864,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-864,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-2,KitchenQual-TA,TotRmsAbvGrd-4,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-1951,GarageFinish-Unf,GarageCars-2,GarageArea-400,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2010,SaleType-WD,SaleCondition-Normal,SalePrice-141000,gt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-107,LotShape-Reg,LotConfig-Inside,Neighborhood-NridgHt,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-9,OverallCond-5,YearBuilt-2006,YearRemodAdd-2007,RoofStyle-Gable,Exterior1st-CemntBd,Exterior2nd-CmentBd,MasVnrType-BrkFace,MasVnrArea-315,ExterQual-Ex,ExterCond-TA,Foundation-PConc,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-Gd,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-2121,TotalBsmtSF-2121,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-2121,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-3,KitchenQual-Ex,TotRmsAbvGrd-8,Functional-Typ,Fireplaces-1,FireplaceQu-Ex,GarageType-Attchd,GarageYrBlt-2007,GarageFinish-Fin,GarageCars-3,GarageArea-732,GarageQual-TA,WoodDeckSF-124,OpenPorchSF-98,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-5,YrSold-2007,SaleType-New,SaleCondition-Partial,SalePrice-415298,gt_400000
MSSubClass-60,MSZoning-RL,LotFrontage-83,LotShape-Reg,LotConfig-Inside,Neighborhood-ClearCr,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-7,OverallCond-5,YearBuilt-1977,YearRemodAdd-1977,RoofStyle-Hip,Exterior1st-Plywood,Exterior2nd-Plywood,MasVnrType-BrkFace,MasVnrArea-299,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-BLQ,BsmtFinSF1-392,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-768,TotalBsmtSF-1160,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-2022,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-4,KitchenQual-TA,TotRmsAbvGrd-8,Functional-Typ,Fireplaces-1,FireplaceQu-TA,GarageType-Attchd,GarageYrBlt-1977,GarageFinish-Fin,GarageCars-2,GarageArea-505,GarageQual-TA,WoodDeckSF-288,OpenPorchSF-117,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-3,YrSold-2008,SaleType-WD,SaleCondition-Normal,SalePrice-192000,gt_100000
MSSubClass-60,MSZoning-RL,LotFrontage-82,LotShape-Reg,LotConfig-Inside,Neighborhood-SawyerW,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-7,OverallCond-6,YearBuilt-1989,YearRemodAdd-1989,RoofStyle-Gable,Exterior1st-Plywood,Exterior2nd-Plywood,MasVnrType-BrkFace,MasVnrArea-340,ExterQual-Gd,ExterCond-TA,Foundation-CBlock,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-Av,BsmtFinType1-GLQ,BsmtFinSF1-421,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-386,TotalBsmtSF-807,HeatingQC-Gd,CentralAir-Y,Electrical-SBrkr,GrLivArea-1982,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-7,Functional-Typ,Fireplaces-1,FireplaceQu-TA,GarageType-Attchd,GarageYrBlt-1989,GarageFinish-Fin,GarageCars-2,GarageArea-575,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-84,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-1,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-228500,gt_200000
MSSubClass-20,MSZoning-FV,LotFrontage-60,LotShape-Reg,LotConfig-Inside,Neighborhood-Somerst,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-6,OverallCond-5,YearBuilt-2006,YearRemodAdd-2006,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-Stone,MasVnrArea-68,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-GLQ,BsmtFinSF1-905,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-357,TotalBsmtSF-1262,HeatingQC-Gd,CentralAir-Y,Electrical-SBrkr,GrLivArea-1262,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-2,KitchenQual-Gd,TotRmsAbvGrd-5,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Attchd,GarageYrBlt-2006,GarageFinish-Fin,GarageCars-2,GarageArea-572,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-120,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-5,YrSold-2006,SaleType-New,SaleCondition-Partial,SalePrice-185000,gt_100000
MSSubClass-120,MSZoning-RL,LotFrontage-34,LotShape-Reg,LotConfig-Inside,Neighborhood-NridgHt,Condition1-Norm,BldgType-Twnhs,HouseStyle-1Story,OverallQual-7,OverallCond-5,YearBuilt-2007,YearRemodAdd-2008,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-Stone,MasVnrArea-166,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-GLQ,BsmtFinSF1-904,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-410,TotalBsmtSF-1314,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1314,BsmtFullBath-1,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-2,KitchenQual-Gd,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2008,GarageFinish-RFn,GarageCars-2,GarageArea-626,GarageQual-TA,WoodDeckSF-172,OpenPorchSF-62,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-4,YrSold-2009,SaleType-ConLw,SaleCondition-Normal,SalePrice-207500,gt_200000
MSSubClass-20,MSZoning-RL,LotFrontage-74,LotShape-Reg,LotConfig-Inside,Neighborhood-Somerst,Condition1-Feedr,BldgType-1Fam,HouseStyle-1Story,OverallQual-8,OverallCond-5,YearBuilt-2008,YearRemodAdd-2009,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-Stone,MasVnrArea-72,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1468,TotalBsmtSF-1468,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1468,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2008,GarageFinish-Fin,GarageCars-3,GarageArea-898,GarageQual-TA,WoodDeckSF-210,OpenPorchSF-150,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-12,YrSold-2009,SaleType-New,SaleCondition-Partial,SalePrice-244600,gt_200000
MSSubClass-120,MSZoning-RL,LotFrontage-50,LotShape-Reg,LotConfig-Inside,Neighborhood-SawyerW,Condition1-Norm,BldgType-TwnhsE,HouseStyle-1Story,OverallQual-6,OverallCond-5,YearBuilt-1992,YearRemodAdd-1992,RoofStyle-Gable,Exterior1st-Plywood,Exterior2nd-ImStucc,MasVnrType-None,MasVnrArea-0,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-GLQ,BsmtFinSF1-430,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1145,TotalBsmtSF-1575,HeatingQC-Gd,CentralAir-Y,Electrical-SBrkr,GrLivArea-1575,BsmtFullBath-1,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-2,KitchenQual-Gd,TotRmsAbvGrd-5,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Attchd,GarageYrBlt-1992,GarageFinish-RFn,GarageCars-2,GarageArea-529,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-52,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-7,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-179200,gt_100000
MSSubClass-160,MSZoning-FV,LotFrontage-35,LotShape-IR1,LotConfig-Inside,Neighborhood-Somerst,Condition1-Norm,BldgType-TwnhsE,HouseStyle-2Story,OverallQual-7,OverallCond-5,YearBuilt-2006,YearRemodAdd-2007,RoofStyle-Gable,Exterior1st-MetalSd,Exterior2nd-MetalSd,MasVnrType-None,MasVnrArea-0,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-625,TotalBsmtSF-625,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1250,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-2,KitchenQual-Gd,TotRmsAbvGrd-5,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-2006,GarageFinish-RFn,GarageCars-2,GarageArea-528,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-54,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2007,SaleType-New,SaleCondition-Partial,SalePrice-164700,gt_100000
